,PNR_Number,Train_Number,Date_of_Journey,Class_of_Travel,Quota,Source_Station,Destination_Station,Booking_Date,Current_Status,Number_of_Passengers,Age_of_Passengers,Booking_Channel,Travel_Distance,Number_of_Stations,Travel_Time,Train_Type,Seat_Availability,Special_Considerations,Holiday_or_Peak_Season,Waitlist_Position,Booking_Status,Waiting_Num,Distance,Final_Status
13161,PNR0000013161,50592,9/13/2060,1AC,Premium Tatkal,MAS,PNBE,1/13/2060,Waitlisted,5,Adult,Mobile App,965,12,9,Express,2472,Defense Quota,No,WL173,Not Confirmed,173,2.656169657,CAN
13162,PNR0000013162,40945,9/14/2060,Sleeper,Premium Tatkal,ADI,BSB,1/14/2060,Confirmed,2,Child,Counter,921,18,5,Superfast,1696,,No,,Confirmed,0,0.261038362,CNF
13163,PNR0000013163,56217,9/15/2060,Sleeper,General,BSB,ASR,1/15/2060,RAC,5,Child,Counter,361,18,39,Shatabdi,488,,No,,Confirmed,0,0.149948049,CNF
13164,PNR0000013164,90204,9/16/2060,1AC,Tatkal,ADI,LTT,1/16/2060,RAC,5,Senior Citizen,Counter,798,19,26,Superfast,1176,,No,,Confirmed,0,0.446256156,CNF
13165,PNR0000013165,75495,9/17/2060,1AC,Ladies,ADI,JP,1/17/2060,Confirmed,5,Adult,Mobile App,612,2,15,Superfast,24,Defense Quota,Yes,,Confirmed,0,0.552039258,CNF
13166,PNR0000013166,82882,9/18/2060,3AC,Ladies,ADI,ADI,1/18/2060,Confirmed,5,Child,Mobile App,841,5,32,Rajdhani,3088,Senior Citizen,No,,Confirmed,0,0.213923337,CNF
13167,PNR0000013167,99736,9/19/2060,3AC,Tatkal,GKP,JHS,1/19/2060,RAC,3,Senior Citizen,Counter,1020,9,13,Superfast,2720,Senior Citizen,No,,Confirmed,0,0.532823261,CNF
13168,PNR0000013168,90346,9/20/2060,3AC,Ladies,HWH,LKO,1/20/2060,Confirmed,5,Child,Counter,737,8,28,Superfast,1544,Defense Quota,No,,Confirmed,0,0.392757896,CNF
13169,PNR0000013169,82248,9/21/2060,Sleeper,Ladies,MMCT,HWH,1/21/2060,RAC,4,Senior Citizen,Mobile App,1774,8,18,Rajdhani,16,,Yes,,Confirmed,0,0.558971865,CNF
13170,PNR0000013170,45490,9/22/2060,2AC,General,MMCT,MAS,1/22/2060,Confirmed,1,Child,IRCTC Website,1698,7,10,Express,3816,,Yes,,Confirmed,0,0.416943903,CNF
13171,PNR0000013171,79405,9/23/2060,1AC,General,UMB,GKP,1/23/2060,RAC,1,Senior Citizen,Mobile App,456,13,2,Shatabdi,2328,Senior Citizen,Yes,,Confirmed,0,0.286637594,CNF
13172,PNR0000013172,68548,9/24/2060,Sleeper,Ladies,HWH,NJP,1/24/2060,Waitlisted,4,Child,Mobile App,1177,10,25,Shatabdi,1712,,No,WL102,Not Confirmed,102,2.344834944,CAN
13173,PNR0000013173,41665,9/25/2060,Sleeper,Premium Tatkal,UMB,GKP,1/25/2060,Waitlisted,3,Senior Citizen,Mobile App,1520,12,19,Shatabdi,1704,Defense Quota,No,WL094,Not Confirmed,94,2.295540908,CNF
13174,PNR0000013174,83167,9/26/2060,2AC,Premium Tatkal,ASR,KOAA,1/26/2060,Waitlisted,2,Adult,Counter,1815,7,28,Shatabdi,2832,,No,WL008,Not Confirmed,8,1.132632392,CNF
13175,PNR0000013175,67497,9/27/2060,1AC,Tatkal,NDLS,SBC,1/27/2060,RAC,3,Child,IRCTC Website,213,11,13,Rajdhani,3456,Senior Citizen,No,,Confirmed,0,0.104976587,CNF
13176,PNR0000013176,19561,9/28/2060,3AC,General,MMCT,UMB,1/28/2060,Confirmed,2,Senior Citizen,Counter,1763,16,6,Rajdhani,824,,No,,Confirmed,0,0.141221447,CNF
13177,PNR0000013177,85236,9/29/2060,2AC,Tatkal,SC,SBC,1/29/2060,RAC,4,Senior Citizen,Counter,695,5,15,Express,1184,Senior Citizen,No,,Confirmed,0,0.453188763,CNF
13178,PNR0000013178,50065,9/30/2060,Sleeper,General,JP,SC,1/30/2060,RAC,3,Senior Citizen,Mobile App,1955,13,20,Rajdhani,1400,Defense Quota,No,,Confirmed,0,0.517544823,CNF
13179,PNR0000013179,62112,10/1/2060,Sleeper,General,BCT,NDLS,1/31/2060,Confirmed,2,Child,Mobile App,1916,4,19,Express,2768,Senior Citizen,Yes,,Confirmed,0,0.491227619,CNF
13180,PNR0000013180,42356,10/2/2060,Sleeper,Premium Tatkal,HWH,GKP,2/1/2060,Waitlisted,2,Child,IRCTC Website,279,4,24,Shatabdi,2520,Senior Citizen,Yes,WL150,Not Confirmed,150,2.56743622,CAN
13181,PNR0000013181,91453,10/3/2060,1AC,Premium Tatkal,KOAA,NDLS,2/2/2060,Waitlisted,4,Child,Counter,770,11,37,Rajdhani,1088,Defense Quota,Yes,WL019,Not Confirmed,19,1.493834449,CNF
13182,PNR0000013182,86496,10/4/2060,3AC,Premium Tatkal,MMCT,JP,2/3/2060,Confirmed,4,Adult,Counter,1195,13,8,Superfast,1664,Defense Quota,Yes,,Confirmed,0,0.28876879,CNF
13183,PNR0000013183,21526,10/5/2060,Sleeper,Ladies,MMCT,NDLS,2/4/2060,RAC,5,Child,Mobile App,1649,7,37,Express,1736,Defense Quota,No,,Confirmed,0,0.226375327,CNF
13184,PNR0000013184,84317,10/6/2060,2AC,Ladies,JU,UMB,2/5/2060,RAC,1,Child,Mobile App,1163,17,6,Superfast,3840,Defense Quota,No,,Confirmed,0,0.437741725,CNF
13185,PNR0000013185,92598,10/7/2060,Sleeper,Tatkal,NDLS,MAS,2/6/2060,Waitlisted,2,Child,Counter,524,7,19,Superfast,2480,Senior Citizen,Yes,WL067,Not Confirmed,67,2.099776727,CNF
13186,PNR0000013186,38457,10/8/2060,Sleeper,Tatkal,BCT,NJP,2/7/2060,Waitlisted,3,Senior Citizen,Counter,609,13,41,Rajdhani,1328,,No,WL041,Not Confirmed,41,1.922299251,CNF
13187,PNR0000013187,28878,10/9/2060,1AC,Premium Tatkal,MMCT,NDLS,2/8/2060,Waitlisted,3,Senior Citizen,IRCTC Website,1605,6,24,Express,3056,Defense Quota,No,WL007,Not Confirmed,7,1.017636822,CNF
13188,PNR0000013188,77980,10/10/2060,3AC,Premium Tatkal,SC,LKO,2/9/2060,RAC,4,Child,Mobile App,404,8,42,Express,64,Senior Citizen,No,,Confirmed,0,0.517376222,CNF
13189,PNR0000013189,14629,10/11/2060,Sleeper,Tatkal,LKO,NJP,2/10/2060,Confirmed,4,Adult,Counter,1148,18,28,Shatabdi,1664,Defense Quota,Yes,,Confirmed,0,0.28876879,CNF
13190,PNR0000013190,76978,10/12/2060,1AC,Premium Tatkal,LKO,HWH,2/11/2060,Confirmed,3,Child,Counter,1704,12,18,Rajdhani,3144,Defense Quota,Yes,,Confirmed,0,0.165395088,CNF
13191,PNR0000013191,37553,10/13/2060,3AC,Tatkal,LTT,CNB,2/12/2060,Waitlisted,3,Child,IRCTC Website,349,11,36,Superfast,3544,Senior Citizen,No,WL046,Not Confirmed,46,1.858705858,CNF
13192,PNR0000013192,45905,10/14/2060,3AC,Ladies,MAS,JU,2/13/2060,Waitlisted,4,Child,Counter,497,9,32,Rajdhani,2200,Defense Quota,No,WL032,Not Confirmed,32,1.69177366,CNF
13193,PNR0000013193,54461,10/15/2060,3AC,Ladies,MAS,NDLS,2/14/2060,Confirmed,3,Child,IRCTC Website,1214,9,4,Shatabdi,2336,Senior Citizen,Yes,,Confirmed,0,0.293570201,CNF
13194,PNR0000013194,52928,10/16/2060,2AC,Tatkal,JP,NDLS,2/15/2060,RAC,4,Child,Counter,886,15,8,Shatabdi,544,Defense Quota,No,,Confirmed,0,0.1014198,CNF
13195,PNR0000013195,81763,10/17/2060,1AC,Ladies,KOAA,JHS,2/16/2060,RAC,2,Adult,IRCTC Website,1851,11,41,Shatabdi,3864,Senior Citizen,No,,Confirmed,0,0.458539546,CNF
13196,PNR0000013196,39079,10/18/2060,1AC,Ladies,BSB,LKO,2/17/2060,RAC,4,Adult,Mobile App,714,10,15,Rajdhani,888,,Yes,,Confirmed,0,0.196682303,CNF
13197,PNR0000013197,22307,10/19/2060,1AC,Ladies,ASR,JP,2/18/2060,Waitlisted,2,Senior Citizen,IRCTC Website,1900,12,25,Express,3568,Defense Quota,No,WL028,Not Confirmed,28,1.622256213,CNF
13198,PNR0000013198,23930,10/20/2060,1AC,Tatkal,SBC,LTT,2/19/2060,Confirmed,3,Adult,Counter,1597,9,26,Superfast,1960,,No,,Confirmed,0,0.03226233,CNF
13199,PNR0000013199,30101,10/21/2060,1AC,General,BSB,NJP,2/20/2060,Confirmed,2,Adult,Mobile App,1866,5,13,Rajdhani,560,Defense Quota,Yes,,Confirmed,0,0.087554586,CNF
13200,PNR0000013200,69594,10/22/2060,3AC,Ladies,ADI,SC,2/21/2060,RAC,1,Child,Mobile App,1058,12,38,Superfast,1016,Defense Quota,No,,Confirmed,0,0.307604015,CNF
13201,PNR0000013201,31042,10/23/2060,1AC,General,BCT,CSMT,2/22/2060,Confirmed,2,Child,Mobile App,137,17,4,Shatabdi,216,,No,,Confirmed,0,0.385656689,CNF
13202,PNR0000013202,62644,10/24/2060,2AC,Tatkal,BCT,LTT,2/23/2060,RAC,4,Senior Citizen,Mobile App,634,13,42,Rajdhani,3544,Defense Quota,No,,Confirmed,0,0.181235264,CNF
13203,PNR0000013203,75161,10/25/2060,3AC,Ladies,KOAA,BCT,2/24/2060,Confirmed,2,Child,IRCTC Website,415,6,3,Superfast,2944,Defense Quota,Yes,,Confirmed,0,0.338710264,CNF
13204,PNR0000013204,50215,10/26/2060,2AC,Ladies,BBS,HWH,2/25/2060,Confirmed,5,Adult,IRCTC Website,557,14,21,Shatabdi,1016,Senior Citizen,No,,Confirmed,0,0.307604015,CNF
13205,PNR0000013205,89642,10/27/2060,Sleeper,Premium Tatkal,CNB,SC,2/26/2060,RAC,1,Adult,Counter,783,15,25,Rajdhani,3792,,Yes,,Confirmed,0,0.396146082,CNF
13206,PNR0000013206,82700,10/28/2060,2AC,General,CSMT,BBS,2/27/2060,Confirmed,3,Senior Citizen,IRCTC Website,970,4,4,Express,1344,,No,,Confirmed,0,0.566073072,CNF
13207,PNR0000013207,96127,10/29/2060,1AC,Ladies,JP,LTT,2/28/2060,RAC,1,Child,Counter,1314,12,9,Express,1128,,No,,Confirmed,0,0.404660514,CNF
13208,PNR0000013208,11226,10/30/2060,1AC,Premium Tatkal,MMCT,PNBE,2/29/2060,RAC,4,Adult,Counter,1075,11,16,Shatabdi,1216,Senior Citizen,No,,Confirmed,0,0.480919192,CNF
13209,PNR0000013209,39605,10/31/2060,1AC,General,UMB,BBS,3/1/2060,RAC,2,Adult,Counter,1853,10,45,Express,3728,Senior Citizen,Yes,,Confirmed,0,0.340685226,CNF
13210,PNR0000013210,89800,11/1/2060,3AC,Ladies,CNB,LKO,3/2/2060,RAC,1,Child,Mobile App,1483,2,4,Rajdhani,2920,Senior Citizen,No,,Confirmed,0,0.359508085,CNF
13211,PNR0000013211,76733,11/2/2060,3AC,Ladies,MAS,SBC,3/3/2060,Confirmed,1,Senior Citizen,IRCTC Website,1904,12,18,Rajdhani,1632,Defense Quota,Yes,,Confirmed,0,0.316499218,CNF
13212,PNR0000013212,93270,11/3/2060,1AC,Ladies,GKP,JU,3/4/2060,RAC,4,Adult,Counter,993,17,33,Shatabdi,2848,Defense Quota,No,,Confirmed,0,0.421901548,CNF
13213,PNR0000013213,17194,11/4/2060,1AC,Ladies,HWH,LTT,3/5/2060,Confirmed,4,Child,IRCTC Website,469,19,42,Shatabdi,3528,Defense Quota,Yes,,Confirmed,0,0.16737005,CNF
13214,PNR0000013214,17495,11/5/2060,Sleeper,General,ASR,MAS,3/6/2060,Confirmed,2,Child,Mobile App,1113,12,6,Shatabdi,3904,Defense Quota,No,,Confirmed,0,0.493202581,CNF
13215,PNR0000013215,74881,11/6/2060,Sleeper,Premium Tatkal,LTT,NJP,3/7/2060,RAC,3,Child,IRCTC Website,906,8,45,Rajdhani,2640,,Yes,,Confirmed,0,0.557009269,CNF
13216,PNR0000013216,37400,11/7/2060,1AC,Premium Tatkal,NJP,GKP,3/8/2060,RAC,5,Adult,Counter,1787,5,20,Rajdhani,2304,Senior Citizen,No,,Confirmed,0,0.265839773,CNF
13217,PNR0000013217,77928,11/8/2060,2AC,General,MAS,MMCT,3/9/2060,Confirmed,2,Child,Counter,953,2,19,Shatabdi,312,,No,,Confirmed,0,0.302465404,CNF
13218,PNR0000013218,60269,11/9/2060,Sleeper,Ladies,NDLS,BBS,3/10/2060,Waitlisted,3,Adult,Counter,1862,9,16,Shatabdi,72,Defense Quota,Yes,WL157,Not Confirmed,157,11.30990045,CAN
13219,PNR0000013219,48676,11/10/2060,3AC,Ladies,KOAA,MMCT,3/11/2060,RAC,1,Adult,IRCTC Website,531,15,13,Rajdhani,3928,,No,,Confirmed,0,0.514000402,CNF
13220,PNR0000013220,40670,11/11/2060,Sleeper,Premium Tatkal,LKO,KOAA,3/12/2060,RAC,5,Child,Mobile App,796,9,19,Superfast,2328,Senior Citizen,No,,Confirmed,0,0.286637594,CNF
13221,PNR0000013221,22727,11/12/2060,Sleeper,Premium Tatkal,BBS,NJP,3/13/2060,Waitlisted,3,Adult,IRCTC Website,713,18,6,Shatabdi,3808,,Yes,WL166,Not Confirmed,166,2.569407049,CAN
13222,PNR0000013222,50161,11/13/2060,1AC,Tatkal,MMCT,UMB,3/14/2060,Waitlisted,1,Child,IRCTC Website,676,5,29,Rajdhani,1376,Senior Citizen,Yes,WL176,Not Confirmed,176,2.84007852,CAN
13223,PNR0000013223,69705,11/14/2060,Sleeper,Premium Tatkal,UMB,PNBE,3/15/2060,Confirmed,4,Child,Counter,50,11,47,Rajdhani,1904,,Yes,,Confirmed,0,0.080790579,CNF
13224,PNR0000013224,96555,11/15/2060,3AC,General,LTT,HWH,3/16/2060,Confirmed,5,Adult,IRCTC Website,522,16,47,Shatabdi,352,Defense Quota,Yes,,Confirmed,0,0.267802369,CNF
13225,PNR0000013225,55594,11/16/2060,Sleeper,General,CNB,LKO,3/17/2060,Waitlisted,3,Adult,Mobile App,122,17,26,Rajdhani,1552,Defense Quota,No,WL157,Not Confirmed,157,2.681159784,CAN
13226,PNR0000013226,20193,11/17/2060,2AC,Tatkal,JHS,BSB,3/18/2060,Confirmed,3,Senior Citizen,IRCTC Website,1912,2,35,Superfast,472,,No,,Confirmed,0,0.163813263,CNF
13227,PNR0000013227,97567,11/18/2060,3AC,General,JP,BCT,3/19/2060,RAC,1,Child,IRCTC Website,1632,6,22,Superfast,2112,Senior Citizen,Yes,,Confirmed,0,0.099457204,CNF
13228,PNR0000013228,86833,11/19/2060,3AC,Ladies,KOAA,MAS,3/20/2060,Waitlisted,2,Child,Counter,541,16,6,Rajdhani,768,Defense Quota,No,WL026,Not Confirmed,26,1.619265419,CNF
13229,PNR0000013229,60323,11/20/2060,3AC,Tatkal,CNB,MMCT,3/21/2060,Waitlisted,1,Child,Mobile App,1439,13,36,Rajdhani,1896,Defense Quota,No,WL061,Not Confirmed,61,2.022605408,CNF
13230,PNR0000013230,98024,11/21/2060,3AC,General,MMCT,BSB,3/22/2060,Confirmed,5,Senior Citizen,IRCTC Website,588,11,39,Express,608,Defense Quota,Yes,,Confirmed,0,0.045958944,CNF
13231,PNR0000013231,59477,11/22/2060,3AC,Premium Tatkal,GKP,BCT,3/23/2060,RAC,3,Senior Citizen,IRCTC Website,1817,12,14,Express,304,,No,,Confirmed,0,0.309398011,CNF
13232,PNR0000013232,24755,11/23/2060,3AC,General,SC,CNB,3/24/2060,RAC,5,Senior Citizen,Mobile App,1750,14,34,Express,472,,Yes,,Confirmed,0,0.163813263,CNF
13233,PNR0000013233,85402,11/24/2060,2AC,General,CNB,SBC,3/25/2060,Waitlisted,3,Senior Citizen,Mobile App,1937,8,32,Superfast,0,Defense Quota,No,WL018,Not Confirmed,18,112.1408569,CAN
13234,PNR0000013234,95631,11/25/2060,3AC,Tatkal,SC,MAS,3/26/2060,RAC,1,Adult,Mobile App,1160,6,5,Express,3152,Defense Quota,No,,Confirmed,0,0.158462481,CNF
13235,PNR0000013235,75940,11/26/2060,Sleeper,Ladies,JP,LTT,3/27/2060,Confirmed,1,Child,IRCTC Website,1056,16,38,Superfast,1416,,No,,Confirmed,0,0.503679609,CNF
13236,PNR0000013236,49725,11/27/2060,2AC,Ladies,KOAA,ADI,3/28/2060,Confirmed,2,Adult,IRCTC Website,1615,8,22,Superfast,2752,,No,,Confirmed,0,0.505092833,CNF
13237,PNR0000013237,56521,11/28/2060,3AC,Ladies,CNB,ADI,3/29/2060,RAC,3,Child,Counter,1737,7,4,Express,1520,,Yes,,Confirmed,0,0.413555717,CNF
13238,PNR0000013238,19471,11/29/2060,2AC,Premium Tatkal,CNB,CSMT,3/30/2060,Waitlisted,1,Senior Citizen,Counter,744,4,21,Express,2112,Defense Quota,Yes,WL118,Not Confirmed,118,2.396429363,CAN
13239,PNR0000013239,56193,11/30/2060,Sleeper,Ladies,MAS,MMCT,3/31/2060,Waitlisted,5,Adult,Mobile App,1410,8,32,Shatabdi,208,,No,WL179,Not Confirmed,179,5.038145407,CAN
13240,PNR0000013240,94686,12/1/2060,2AC,General,BBS,JU,4/1/2060,RAC,5,Child,IRCTC Website,720,11,12,Rajdhani,1104,,No,,Confirmed,0,0.383862693,CNF
13241,PNR0000013241,33766,12/2/2060,Sleeper,Premium Tatkal,JHS,NDLS,4/2/2060,Waitlisted,1,Senior Citizen,Counter,1930,10,47,Express,1640,Defense Quota,No,WL111,Not Confirmed,111,2.413489913,CAN
13242,PNR0000013242,36059,12/3/2060,Sleeper,Tatkal,UMB,ASR,4/3/2060,Waitlisted,1,Senior Citizen,IRCTC Website,322,17,14,Shatabdi,3912,,No,WL128,Not Confirmed,128,2.435824318,CAN
13243,PNR0000013243,50426,12/4/2060,2AC,Ladies,ASR,GKP,4/4/2060,Waitlisted,3,Child,Mobile App,627,16,45,Rajdhani,3928,Defense Quota,No,WL132,Not Confirmed,132,2.45561976,CAN
13244,PNR0000013244,79739,12/5/2060,3AC,General,HWH,JHS,4/5/2060,RAC,3,Adult,IRCTC Website,998,4,18,Superfast,1912,Defense Quota,No,,Confirmed,0,0.073857972,CNF
13245,PNR0000013245,96913,12/6/2060,1AC,Premium Tatkal,BBS,BBS,4/6/2060,Confirmed,5,Adult,Counter,723,9,11,Express,3320,Senior Citizen,Yes,,Confirmed,0,0.012877733,CNF
13246,PNR0000013246,17582,12/7/2060,2AC,General,CSMT,CSMT,4/7/2060,RAC,3,Adult,Mobile App,1732,13,9,Shatabdi,3216,Senior Citizen,No,,Confirmed,0,0.103001625,CNF
13247,PNR0000013247,14576,12/8/2060,1AC,Tatkal,ADI,NJP,4/8/2060,RAC,1,Senior Citizen,Counter,1293,16,41,Shatabdi,2824,,Yes,,Confirmed,0,0.44269937,CNF
13248,PNR0000013248,71439,12/9/2060,1AC,Premium Tatkal,ASR,KOAA,4/9/2060,Waitlisted,3,Child,Counter,704,17,23,Rajdhani,2784,,No,WL173,Not Confirmed,173,2.648868177,CAN
13249,PNR0000013249,36595,12/10/2060,1AC,General,GKP,LKO,4/10/2060,RAC,3,Child,Mobile App,1069,2,3,Superfast,1416,Defense Quota,Yes,,Confirmed,0,0.503679609,CNF
13250,PNR0000013250,91387,12/11/2060,3AC,General,BCT,BSB,4/11/2060,Confirmed,2,Adult,Mobile App,204,4,25,Rajdhani,976,,No,,Confirmed,0,0.27294098,CNF
13251,PNR0000013251,43749,12/12/2060,3AC,General,NJP,SBC,4/12/2060,Confirmed,4,Adult,IRCTC Website,654,19,30,Shatabdi,632,Senior Citizen,No,,Confirmed,0,0.025161122,CNF
13252,PNR0000013252,92341,12/13/2060,Sleeper,Ladies,BSB,ADI,4/13/2060,Waitlisted,3,Child,IRCTC Website,628,2,31,Express,3184,Senior Citizen,Yes,WL114,Not Confirmed,114,2.335125064,CAN
13253,PNR0000013253,40142,12/14/2060,Sleeper,Ladies,ASR,SBC,4/14/2060,Waitlisted,4,Child,Mobile App,1620,5,23,Superfast,3648,Senior Citizen,No,WL095,Not Confirmed,95,2.238537187,CNF
13254,PNR0000013254,83919,12/15/2060,3AC,General,LTT,SC,4/15/2060,RAC,5,Adult,Counter,403,19,38,Express,1104,Defense Quota,No,,Confirmed,0,0.383862693,CNF
13255,PNR0000013255,60721,12/16/2060,1AC,Tatkal,LKO,KOAA,4/16/2060,Confirmed,2,Child,IRCTC Website,287,14,13,Shatabdi,304,,Yes,,Confirmed,0,0.309398011,CNF
13256,PNR0000013256,43243,12/17/2060,3AC,Tatkal,MMCT,CNB,4/17/2060,RAC,4,Senior Citizen,IRCTC Website,1538,18,33,Express,504,Defense Quota,Yes,,Confirmed,0,0.136082835,CNF
13257,PNR0000013257,18324,12/18/2060,1AC,Ladies,KOAA,BBS,4/18/2060,RAC,5,Senior Citizen,Mobile App,148,8,7,Express,2840,Defense Quota,No,,Confirmed,0,0.428834155,CNF
13258,PNR0000013258,41285,12/19/2060,2AC,Tatkal,LKO,MAS,4/19/2060,Waitlisted,2,Senior Citizen,Counter,1296,17,36,Superfast,3440,Senior Citizen,Yes,WL156,Not Confirmed,156,2.509049834,CAN
13259,PNR0000013259,40479,12/20/2060,2AC,Premium Tatkal,GKP,SBC,4/20/2060,Waitlisted,3,Adult,Mobile App,783,11,40,Superfast,2864,,No,WL029,Not Confirmed,29,1.680646907,CNF
13260,PNR0000013260,34150,12/21/2060,1AC,General,JU,BBS,4/21/2060,Waitlisted,2,Senior Citizen,Counter,936,13,12,Rajdhani,2864,Senior Citizen,No,WL061,Not Confirmed,61,2.042039461,CNF
13261,PNR0000013261,86625,12/22/2060,1AC,General,LTT,JHS,4/22/2060,Waitlisted,5,Child,IRCTC Website,793,4,22,Express,968,Defense Quota,No,WL072,Not Confirmed,72,2.206750088,CNF
13262,PNR0000013262,76324,12/23/2060,3AC,Ladies,HWH,ADI,4/23/2060,Waitlisted,2,Senior Citizen,IRCTC Website,1293,15,15,Express,288,Senior Citizen,Yes,WL080,Not Confirmed,80,2.728962016,CAN
13263,PNR0000013263,92048,12/24/2060,Sleeper,General,CSMT,JHS,4/24/2060,Confirmed,1,Senior Citizen,IRCTC Website,1585,19,4,Express,2800,Defense Quota,Yes,,Confirmed,0,0.463497191,CNF
13264,PNR0000013264,45491,12/25/2060,Sleeper,Ladies,LTT,ASR,4/25/2060,RAC,3,Senior Citizen,IRCTC Website,1714,14,8,Shatabdi,3328,,No,,Confirmed,0,0.005945126,CNF
13265,PNR0000013265,36883,12/26/2060,3AC,Ladies,CSMT,CSMT,4/26/2060,Waitlisted,4,Senior Citizen,Mobile App,1183,2,40,Superfast,3464,Defense Quota,Yes,WL128,Not Confirmed,128,2.393105649,CAN
13266,PNR0000013266,29476,12/27/2060,1AC,General,JHS,KOAA,4/27/2060,RAC,5,Senior Citizen,IRCTC Website,1328,15,15,Express,720,Defense Quota,Yes,,Confirmed,0,0.051097555,CNF
13267,PNR0000013267,54429,12/28/2060,2AC,General,ADI,SC,4/28/2060,RAC,3,Adult,Counter,1555,9,20,Superfast,3816,Senior Citizen,No,,Confirmed,0,0.416943903,CNF
13268,PNR0000013268,60988,12/29/2060,2AC,Premium Tatkal,HWH,GKP,4/29/2060,RAC,2,Senior Citizen,Counter,1822,3,15,Superfast,1728,,No,,Confirmed,0,0.233307934,CNF
13269,PNR0000013269,62019,12/30/2060,Sleeper,Tatkal,SBC,BCT,4/30/2060,Waitlisted,3,Adult,IRCTC Website,615,5,26,Express,2880,Defense Quota,No,WL113,Not Confirmed,113,2.370369848,CAN
13270,PNR0000013270,13740,12/31/2060,2AC,Premium Tatkal,JP,ASR,5/1/2060,RAC,5,Senior Citizen,Counter,1380,10,4,Express,1864,Senior Citizen,No,,Confirmed,0,0.115453614,CNF
13271,PNR0000013271,37769,1/1/2061,Sleeper,General,CSMT,MMCT,5/2/2060,RAC,2,Child,IRCTC Website,276,18,22,Express,3200,,No,,Confirmed,0,0.116866839,CNF
13272,PNR0000013272,60292,1/2/2061,2AC,Tatkal,ADI,LTT,5/3/2060,Confirmed,4,Child,IRCTC Website,1975,17,15,Rajdhani,2616,Defense Quota,Yes,,Confirmed,0,0.536211448,CNF
13273,PNR0000013273,21487,1/3/2061,3AC,Premium Tatkal,MMCT,SBC,5/4/2060,Confirmed,1,Adult,Counter,1600,7,37,Rajdhani,2648,Defense Quota,Yes,,Confirmed,0,0.563941876,CNF
13274,PNR0000013274,86884,1/4/2061,2AC,Tatkal,SC,UMB,5/5/2060,Confirmed,2,Senior Citizen,IRCTC Website,695,15,13,Superfast,16,Senior Citizen,No,,Confirmed,0,0.558971865,CNF
13275,PNR0000013275,62920,1/5/2061,3AC,Premium Tatkal,HWH,JU,5/6/2060,Confirmed,1,Adult,Counter,108,12,27,Superfast,2720,Senior Citizen,No,,Confirmed,0,0.532823261,CNF
13276,PNR0000013276,12961,1/6/2061,Sleeper,Premium Tatkal,ASR,NDLS,5/7/2060,Confirmed,4,Child,IRCTC Website,1312,11,13,Superfast,3640,Senior Citizen,Yes,,Confirmed,0,0.264426549,CNF
13277,PNR0000013277,33928,1/7/2061,Sleeper,Tatkal,LKO,CNB,5/8/2060,Waitlisted,4,Adult,Counter,1626,10,20,Shatabdi,2248,,Yes,WL156,Not Confirmed,156,2.576360142,CAN
13278,PNR0000013278,13544,1/8/2061,3AC,Tatkal,ASR,BSB,5/9/2060,Waitlisted,4,Adult,Counter,392,7,14,Express,2040,,Yes,WL090,Not Confirmed,90,2.23460321,CNF
13279,PNR0000013279,53032,1/9/2061,1AC,General,BCT,LKO,5/10/2060,Confirmed,5,Adult,Counter,940,4,35,Express,1496,,No,,Confirmed,0,0.434353538,CNF
13280,PNR0000013280,50453,1/10/2061,Sleeper,Tatkal,JU,NDLS,5/11/2060,RAC,4,Child,Mobile App,1153,15,45,Express,2488,Defense Quota,No,,Confirmed,0,0.425289735,CNF
13281,PNR0000013281,72213,1/11/2061,Sleeper,Tatkal,JHS,MMCT,5/12/2060,Confirmed,4,Senior Citizen,IRCTC Website,1063,15,40,Superfast,1048,,Yes,,Confirmed,0,0.335334444,CNF
13282,PNR0000013282,60476,1/12/2061,3AC,General,BBS,JP,5/13/2060,RAC,4,Senior Citizen,Mobile App,1771,8,11,Express,904,Senior Citizen,No,,Confirmed,0,0.210547517,CNF
13283,PNR0000013283,57233,1/13/2061,1AC,General,ASR,SBC,5/14/2060,Confirmed,3,Senior Citizen,Mobile App,1772,4,4,Superfast,288,Defense Quota,No,,Confirmed,0,0.323263225,CNF
13284,PNR0000013284,16263,1/14/2061,1AC,Ladies,NJP,HWH,5/15/2060,Confirmed,2,Senior Citizen,Mobile App,355,18,33,Superfast,1448,,No,,Confirmed,0,0.47594918,CNF
13285,PNR0000013285,73631,1/15/2061,Sleeper,General,MAS,HWH,5/16/2060,Waitlisted,1,Senior Citizen,Mobile App,310,11,39,Express,2768,,Yes,WL132,Not Confirmed,132,2.484410134,CAN
13286,PNR0000013286,79849,1/16/2061,3AC,General,LKO,ASR,5/17/2060,Confirmed,4,Child,IRCTC Website,1994,3,25,Rajdhani,1832,Defense Quota,Yes,,Confirmed,0,0.143184042,CNF
13287,PNR0000013287,41932,1/17/2061,Sleeper,General,NJP,UMB,5/18/2060,Waitlisted,2,Adult,Mobile App,1157,15,26,Shatabdi,512,Defense Quota,Yes,WL118,Not Confirmed,118,2.814921399,CAN
13288,PNR0000013288,45478,1/18/2061,Sleeper,Tatkal,PNBE,SC,5/19/2060,RAC,5,Child,IRCTC Website,1141,18,26,Shatabdi,3800,,Yes,,Confirmed,0,0.403078689,CNF
